Fantasy_Game_ID,simplified_name,Sofascore_ID
346,lukamodrić,15466
354,aritzelustondo,785468
35434,marcpubill,1094106
35943,javillabrés,1162309
36046,gonzalovillar,914765
36048,nahueltenaglia,896073
36084,cristhianmosquera,1144630
361,yuriberchiche,84531
36321,gastónálvarez,980578
36332,giovannigonzález,590404
36344,njegošpetrović,844179
36371,vedatmuriqi,310874
36377,myrtouzuni,895533
37,stefansavić,76265
3720,davidlópez,135116
3728,marcroca,847128
3729,youssefennesyri,846470
3778,joselu,69418
389,carlosfernández,782396
392,denissuárez,138383
40029,juanmilatasa,966679
40031,mariodominguez,1211006
40032,mikamármol,979146
40089,umarsadiq,754710
40090,largieramazani,909966
40093,lucasrobertone,848926
40094,arnaupuigmal,910023
40095,samuelcosta,988351
40099,chumi,913455
40105,fernandomartínez,139925
40147,antoniorüdiger,142622
40164,imanolgarcía,846047
40166,aurélientchouaméni,859025
410,bernardoespinosa,139919
413,jorgemeré,355046
415,luishernández,260097
42,koke,84539
42,koke,848057
43,ólivertorres,231776
431,joãocancelo,138892
432,joséluisgayà,227922
44,raúlgarcía,4581
44,raúlgarcía,997280
444,daniparejo,39182
448,álvaronegredo,27838
456,jaumecosta,44577
46,saúlñíguez,116955
464,aleixgarcía,796047
465,alfonsopedraza,797290
474,manutrigueros,153966
4753,yerayálvarez,807648
476,gerardmoreno,146866
477,léobaptistão,252857
48185,pablotorre,1082981
48188,mohamedalicho,1063235
48194,williotswedberg,1126779
48202,ibrahimakébé,1031566
48203,ramónterrats,1088565
48205,arnaumartínez,1084081
48486,josécopete,913695
48537,luizhenrique,1035995
48556,andreaschristensen,186795
48575,axelwitsel,35612
48576,houboulangmendes,845119
48616,samuellino,874705
48617,lucadelatorre,846492
48657,raphinha,831005
48672,fabrizioangileri,311462
48684,robertlewandowski,41789
4886,asiervillalibre,355072
48920,predragrajković,188107
48935,yancouto,1002813
48937,jonkarrikaburu,1099175
48950,nahuelmolina,831799
48960,kikofemenía,53739
49,ángelcorrea,316152
49092,tanguynianzou,1003007
492,willianjosé,123223
49275,andréalmeida,845693
49288,anderherrera,82474
49292,brianocampo,941405
49296,franpérez,966637
49336,oriolromeu,69416
49341,jørgenstrandlarsen,876599
49348,matijanastasić,98440
49382,marcosalonso,69408
49424,kikesalas,1097719
5,óscardemarcos,52663
51,antoinegriezmann,85859
51135,pablobarrios,1142588
51566,chadiriad,1064218
51903,césarmontes,818406
51915,diegomendez,1392573
51992,loïcbadé,1006489
52043,abnervinícius,973838
52044,viktortsygankov,319735
52117,jonanderolasagasti,1010383
52130,cylelarin,790179
52131,diegomariño,69379
52188,selimamallah,801211
52372,javierguerra,1122610
52377,jorgeherrando,944225
53091,famaradiédhiou,293115
53092,josécallejón,40965
53095,bryanzaragoza,1084730
53096,andréferreira,788197
53098,albertomoleiro,1012444
53099,jonathanviera,129451
53100,enzoloiodice,933426
53101,pejiño,925220
53102,kirianrodríguez,964985
53104,benitoramírez,868223
53105,saúlcoco,964466
53106,ericcurbelo,868227
53107,sergicardona,986245
53109,álvarolemos,813645
53110,alexsuárez,914848
53111,álvarovalles,964983
53114,judebellingham,991011
53144,carlosbenavídez,873717
53340,cristianherrera,362032
53409,benbreretondíaz,867583
53434,çağlarsöyüncü,758608
536,íñigolekue,801837
54818,césarazpilicueta,21555
54831,sergialtimira,1137814
54833,federicogattoni,941464
54834,daleyblind,44864
54853,daleysinkgraven,377206
54868,sávio,1046795
54896,jonathanbamba,595576
54897,siebevanderheyden,842164
54900,carlosdotor,997221
54952,matteogabbia,826195
54953,lucaspires,1136896
54960,rafamarín,984623
55008,marcianosanca,1486786
55009,fermínlópez,1153270
55042,unaigómez,1391375
55045,hugosotelo,1120669
55057,djibrilsow,799054
55058,artemdovbyk,798820
55067,dionlopy,982327
55068,wilsonmanafá,344205
55088,carlstarfelt,360718
55115,pablogozálbez,996932
55434,sorykaba,869131
55439,hugogonzález,996931
55452,sergicanós,790833
55453,ørjannyland,22209
